inf;inf;inf;inf;inf;inf;inf;3.28151;2.50482;2.03174;1.72151;1.50777;1.35063;1.24543;1.14255;1.05995;0.989223;0.981095;0.930966;1.07878;1.07128;1.03655;1.02711;1.00601;1.02673;1.03371;1.05917;1.10106;1.1356;1.1963;1.27529;1.36528;1.4966;1.63509;1.84339;2.13948;2.55092;0.5;0
inf;inf;inf;inf;inf;inf;3.19804;2.47163;2.04112;1.72958;1.51627;1.36939;1.24593;1.14283;1.06313;1.01306;0.978427;0.922519;0.930681;1.02886;1.00514;1.01033;1.02067;1.02582;1.01999;1.06014;1.08482;1.1297;1.1945;1.26692;1.34846;1.48817;1.6389;1.86237;2.16293;2.5909;3.28439;0.5;0
inf;inf;inf;inf;inf;3.31206;2.54068;2.06615;1.76099;1.55882;1.39668;1.27814;1.16879;1.11064;1.06459;1.0058;0.966551;0.931864;0.92787;1.00882;0.986298;0.986545;0.99266;0.989175;1.01757;1.06746;1.1001;1.16825;1.23822;1.299;1.43905;1.58417;1.81105;2.11191;2.53201;3.18361;inf;0.5;0
inf;inf;inf;inf;inf;2.67459;2.17403;1.84107;1.59671;1.42424;1.29324;1.18608;1.12115;1.06293;1.01084;0.984409;0.954778;0.949632;0.92119;0.974955;0.955809;0.967045;0.999062;1.00535;1.05472;1.08212;1.1293;1.19976;1.2908;1.40838;1.55394;1.76858;2.02911;2.39667;3.01585;inf;inf;0.5;0
inf;inf;inf;inf;3.20524;2.52823;2.07963;1.76456;1.54353;1.40035;1.27094;1.16988;1.12569;1.03934;0.994117;0.975496;0.930381;0.938379;0.923084;0.966936;0.975709;0.970283;1.00209;1.00685;1.04572;1.09432;1.15013;1.24575;1.31634;1.43883;1.58274;1.82246;2.09069;2.54069;3.25231;inf;inf;0.5;0
inf;inf;inf;inf;3.27129;2.51875;2.08414;1.78756;1.56317;1.41056;1.29142;1.19178;1.12406;1.07475;1.03095;0.981189;0.943351;0.9596;0.936598;0.963153;0.957859;0.95989;0.993576;1.00051;1.05513;1.07849;1.13815;1.22611;1.30142;1.43446;1.60498;1.78451;2.09778;2.54978;3.20121;inf;inf;0.5;0
inf;inf;inf;inf;3.3104;2.56091;2.12223;1.81298;1.55761;1.40982;1.29431;1.20727;1.11995;1.06807;1.02518;0.974799;0.968846;0.957125;0.947448;0.957064;0.959652;0.984056;0.98174;0.993688;1.0369;1.09273;1.13131;1.20794;1.29016;1.41187;1.58821;1.78308;2.07535;2.49356;3.16628;inf;inf;0.5;0
inf;inf;inf;inf;3.36654;2.60295;2.12058;1.83679;1.596;1.42947;1.31337;1.22212;1.14312;1.08871;1.02247;0.983802;0.975491;0.936687;0.957309;0.949605;0.957489;0.970924;0.984807;1.00584;1.0357;1.07236;1.1347;1.19658;1.29024;1.39374;1.55323;1.77297;2.04374;2.45735;3.12252;inf;inf;0.5;0
inf;inf;inf;inf;3.41618;2.64657;2.14282;1.85585;1.6249;1.44703;1.3205;1.21422;1.16011;1.08504;1.02463;0.997737;0.963145;0.973769;0.943826;0.96174;0.941814;0.952247;0.952424;0.98451;1.01535;1.06514;1.10029;1.1696;1.27442;1.39825;1.54873;1.72144;2.03276;2.41226;3.08342;inf;inf;0.5;0
inf;inf;inf;inf;3.47033;2.66446;2.19568;1.85879;1.6353;1.47646;1.32456;1.23264;1.17359;1.0844;1.03034;1.00409;0.994016;0.982171;0.94809;0.940257;0.951118;0.94979;0.987312;1.00094;1.00991;1.04915;1.1047;1.17593;1.2396;1.36438;1.52572;1.71191;2.00912;2.39853;3.06144;inf;inf;0.5;0
